data;Ano;Mês;BOG-rf;IBOV-rf;SMB;HML;WML
44592;2022;1;0,0321751470321368;0,0620177270321367;-0,00354793709920498;0,0201759752489572;-0,0789621564686656
44620;2022;2;-0,0426591381113128;-0,00942193321131284;-0,0704422721591246;0,00382638563436966;0,0605093955344695
44651;2022;3;0,0358485254445816;0,0514563754445816;-0,0106685143175945;-0,0158229567210445;-0,00601079356494194
44681;2022;4;-0,151545511161838;-0,122188211161838;-0,00705080341550279;0,0600406930827959;0,116508423889482
44712;2022;5;-0,044056820697773;0,022150019302227;-0,0481663024658608;0,0381551897629644;0,0674682999899543
44742;2022;6;-0,141305976743163;-0,125410076743163;-0,077207818943802;0,0434255117276334;0,136225867583118
44773;2022;7;0,0594996296396193;0,0320526796396193;0,0508295587156762;-0,034410205674996;-0,0467536424478223
44804;2022;8;0,0652756601677155;0,0606651901677156;0,0238592309405159;0,00704669854379603;-0,0595203504318984
44834;2022;9;-0,033750525771493;-0,014088318771493;0,0404527149064002;0,0343866533319364;0,013100784128423
44865;2022;10;0,054273129244799;0,043802979244799;-0,0524978661973589;-0,0314028239763491;0,034779148384501
44895;2022;11;-0,135745023881797;-0,0487395538817967;-0,0840802000786429;0,037756239017811;0,0710485678541486
44926;2022;12;-0,0577293586319313;-0,0214662886319313;0,0398053479259535;0,0229064215921941;-0,00354735935317874
44957;2023;1;0,0112734323249914;0,0229541523249914;0,0486907914701911;0,00535966899930762;-0,0414085662463332
44985;2023;2;-0,0987223004368325;-0,0744449204368325;-0,0535784242277958;-0,0523369720072407;0,137460917878496
45016;2023;3;-0,0757172519909589;-0,0346907919909589;-0,00350373276888138;0,0162942309997312;0,0223375855485486
45046;2023;4;-0,000718182937814235;0,0143051270621858;0,00162072906052235;0,0954889354046278;-0,000076772965773908
